Nome,Lattes
Andre Castelo Branco Soares,4545154317245176
Andre Macedo Santana,5971556358191272
Guilherme Amaral Avelino,9924454852039192
Ivan Saraiva Silva,1844463012703650
Joao Xavier Da Cruz Neto,9936034232663152
Kelson Romulo Teixeira Aires,0065931835203045
Paulo Sergio Marques Dos Santos,9032198192954149
Pedro De Alcantara Dos Santos Neto,3452982259415951
Ricardo De Andrade Lira Rabelo,2263553634422386
Rodrigo De Melo Souza Veras,2634254790193199
Romuere Rodrigues Veloso E Silva,3734588405818556
Antonio Oseas De Carvalho Filho,7913655222849728
Erico Meneses Leao,1117954290627743
Flavio Henrique Duarte De Araujo,9403364226017898
Joao Carlos De Oliveira Souza,5875678751294224
Jose Valdemir Dos Reis Junior,5892952730297435\
Vinicius Ponte Machado,9385561556243194
Alexandre Cesar Muniz De Oliveira,5225588855422632
Anselmo Cardoso De Paiva,6446831084215512
Areolino De Almeida Neto,8041675571955870
Aristofanes Correa Silva,2446301582459104
Carlos De Salles Soares Neto,1512846862093142
Davi Viana Dos Santos,9297257833779277
Francisco Jose Da Silva E Silva,0770343284012942
Geraldo Braz Junior,8287861610873629
Joao Dallyson Sousa De Almeida,6047330108382641
Luciano Reis Coutinho,5901564732655853
Luis Jorge Enrique Rivero Cabrejos,8534667641706692
Mario Antonio Meireles Teixeira,9943003955628885
Alana De Araujo Oliveira Meireles Teixeira,6253527692814293
Antonio De Abreu Batista Junior,8874849216659304
Ariel Soares Teles,5012476998883237
Bruno Feres De Souza,4112635495117258
Darlan Bruno Pontes Quintanilha,4222253532775153
Omar Andres Carmona Cortes,5523293886612004
Tiago Bonini Borchartt,2352727269839328
Glauber Dias Goncalves,5984202704503148
Juliana Oliveira De Carvalho,9896799227276498
Laurindo De Sousa Britto Neto,7916184937654329
Raimundo Santos Moura,7902070751612416
Rayner Gomes Sousa,0678851496358039
